ville,pays,latitude,longitude,date_heure,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-03 15:00:00+00:00,1,99.55,0.0,0.67,50.04,0.21,2.94,4.05,0.67
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-03 16:00:00+00:00,1,104.84,0.0,0.79,45.4,0.21,3.02,4.38,0.74
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-03 17:00:00+00:00,1,107.48,0.0,0.79,43.13,0.19,2.93,4.38,0.75
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-03 18:00:00+00:00,1,102.44,0.0,0.66,42.97,0.15,2.51,3.85,0.57
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-03 19:00:00+00:00,1,86.47,0.0,0.4,44.72,0.12,1.55,2.6,0.32
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-03 20:00:00+00:00,1,81.45,0.0,0.33,46.37,0.1,1.2,2.13,0.25
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-03 21:00:00+00:00,1,76.52,0.0,0.27,48.26,0.08,0.94,1.69,0.19
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-03 22:00:00+00:00,1,71.32,0.0,0.22,50.7,0.07,0.74,1.34,0.14
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-03 23:00:00+00:00,1,69.16,0.0,0.2,51.99,0.06,0.69,1.32,0.13
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-04 00:00:00+00:00,1,68.32,0.0,0.19,52.66,0.06,0.68,1.36,0.13
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-04 01:00:00+00:00,1,68.0,0.0,0.19,52.73,0.06,0.71,1.47,0.14
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-04 02:00:00+00:00,1,68.22,0.0,0.19,52.48,0.07,0.75,1.6,0.15
Antananarivo,Madagascar,-18.8792,47.5079,2025-08-04 03:00:00+00:00,1,68.85,0.0,0.2,52.29,0.08,0.81,1.77,0.16
